"","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0085105","41.1654716127524","34.3415633068526","45.2214506387927","86.9559275199957","94.1687903076495","83.2903248090645","0.0023829442339299","1.61980891899839","1.33933466385449e-7","3.07334327972928","2.62288612096865"
"FBtr0073120","1439.6631700461","1465.32845694377","1380.30429287466","2334.45059558011","2647.80606315527","3120.2706668034","1.73620649955215e-7","1.31797888472211","9.75835487607999e-12","2.49316589831871","6.76039862231473"
"FBtr0085085","715.557536011807","549.775380986318","595.782793101679","996.231918181963","1222.49506373081","1225.96649311371","0.000142610983785488","1.27460404648251","8.01545547355487e-9","2.419324093982","3.84584702417753"
"FBtr0339391","304.741589172407","416.80310566383","266.328027021446","760.128254644443","787.918294863394","682.675824075069","0.0000111967106864862","1.68746046482993","6.29311526893333e-10","3.22089239834693","4.95090954344777"
"FBtr0086613","46.4339659054037","48.6170528334978","36.9448236958442","95.9839086537609","100.702094658248","104.293500101897","0.00021571127277198","1.72121948130053","1.21240598455474e-8","3.29714990645412","3.66612715867704"
"FBtr0346714","118.280591348275","62.9232153943447","62.925310749416","536.030718692088","601.603504468334","611.429490524451","2.28014989291882e-21","4.10568791710899","1.28155906751282e-25","17.2161174139294","20.6420366023295"
"FBtr0100508","10.3054243010254","13.4482608869858","8.01006894632404","29.7992369981408","32.4889168970638","30.674772791907","0.00322212881801786","2.21537879705219","1.81099866120608e-7","4.64403484505359","2.49185710083921"
"FBtr0100504","16.782969529256","12.5574743320132","9.9313572254412","39.0817142374214","42.3429790786645","57.2352726729401","0.0000905438435505938","2.71659098588023","5.08901998373391e-9","6.57317769238789","4.04314107381929"
"FBtr0337020","172.47045715865","126.392594974236","139.063308602639","1221.11189348635","1406.82474176023","1176.07469987386","1.21374512851908e-76","4.49248644388028","6.82185886083115e-81","22.5098797375118","75.9158725001624"
"FBtr0083467","99.5071969107094","112.742849055026","109.956933458463","249.842247268228","217.760640609484","255.863889799167","1.62118225994922e-7","1.67964246732036","9.11186072363545e-12","3.20348551532715","6.79016815724241"